Time [s],Channel 3
56.392878562,2.551
56.393678562,2.551
56.394478562,2.556
56.395278562,2.551
56.396078562,2.556
56.396878562,2.551
56.397678562,2.556
56.398478562,2.556
56.399278562,2.551
56.400078562,2.556
56.400878562,2.551
56.401678562,2.556
56.402478562,2.551
56.403278562,2.556
56.404078562,2.551
56.404878562,2.551
56.405678562,2.551
56.406478562,2.551
56.407278562,2.556
56.408078562,2.556
56.408878562,2.551
56.409678562,2.556
56.410478562,2.551
56.411278562,2.551
56.412078562,2.551
56.412878562,2.556
56.413678562,2.556
56.414478562,2.551
56.415278562,2.556
56.416078562,2.556
56.416878562,2.556
56.417678562,2.551
56.418478562,2.551
56.419278562,2.551
56.420078562,2.556
56.420878562,2.551
56.421678562,2.551
56.422478562,2.551
56.423278562,2.551
56.424078562,2.551
56.424878562,2.551
56.425678562,2.551
56.426478562,2.556
56.427278562,2.556
56.428078562,2.556
56.428878562,2.556
56.429678562,2.551
56.430478562,2.556
56.431278562,2.551
56.432078562,2.551
56.432878562,2.556
56.433678562,2.551
56.434478562,2.551
56.435278562,2.551
56.436078562,2.551
56.436878562,2.551
56.437678562,2.556
56.438478562,2.551
56.439278562,2.556
56.440078562,2.556
56.440878562,2.556
56.441678562,2.551
56.442478562,2.551
56.443278562,2.551
56.444078562,2.551
56.444878562,2.551
56.445678562,2.551
56.446478562,2.541
56.447278562,2.556
56.448078562,2.556
56.448878562,2.551
56.449678562,2.556
56.450478562,2.551
56.451278562,2.551
56.452078562,2.556
56.452878562,2.551
56.453678562,2.551
56.454478562,2.551
56.455278562,2.556
56.456078562,2.556
56.456878562,2.556
56.457678562,2.556
56.458478562,2.556
56.459278562,2.551
56.460078562,2.556
56.460878562,2.551
56.461678562,2.556
56.462478562,2.556
56.463278562,2.556
56.464078562,2.556
56.464878562,2.556
56.465678562,2.556
56.466478562,2.556
56.467278562,2.556
56.468078562,2.551
56.468878562,2.551
56.469678562,2.551
56.470478562,2.556
56.471278562,2.551
56.472078562,2.551
56.472878562,2.551
56.473678562,2.551
56.474478562,2.556
56.475278562,2.556
56.476078562,2.556
56.476878562,2.551
56.477678562,2.556
56.478478562,2.551
56.479278562,2.556
56.480078562,2.551
56.480878562,2.551
56.481678562,2.556
56.482478562,2.551
56.483278562,2.556
56.484078562,2.556
56.484878562,2.551
56.485678562,2.551
56.486478562,2.556
56.487278562,2.556
56.488078562,2.556
56.488878562,2.551
56.489678562,2.551
56.490478562,2.551
56.491278562,2.556
56.492078562,2.551
56.492878562,2.551
56.493678562,2.551
56.494478562,2.551
56.495278562,2.556
56.496078562,2.551
56.496878562,2.556
56.497678562,2.556
56.498478562,2.551
56.499278562,2.551
56.500078562,2.551
56.500878562,2.551
56.501678562,2.551
56.502478562,2.551
56.503278562,2.551
56.504078562,2.551
56.504878562,2.556
56.505678562,2.551
56.506478562,2.556
56.507278562,2.556
56.508078562,2.551
56.508878562,2.551
56.509678562,2.551
56.510478562,2.551
56.511278562,2.551
56.512078562,2.551
56.512878562,2.551
56.513678562,2.551
56.514478562,2.556
56.515278562,2.556
56.516078562,2.556
56.516878562,2.551
56.517678562,2.556
56.518478562,2.556
56.519278562,2.551
56.520078562,2.551
56.520878562,2.551
56.521678562,2.551
56.522478562,2.556
56.523278562,2.551
56.524078562,2.556
56.524878562,2.551
56.525678562,2.556
56.526478562,2.551
56.527278562,2.556
